url,slug,name,price_dkk
https://www.lidl.dk/p/paagen-kanelgifler/p10029423,paagen-kanelgifler,,
https://www.lidl.dk/p/parkside-multimeter-eller-stroemmaaleadapter/p10029615,parkside-multimeter-eller-stroemmaaleadapter,PARKSIDE® Multimeter eller strømmåleadapter,99
https://www.lidl.dk/p/crownfield-cornflakes/p65498,crownfield-cornflakes,Crownfield cornflakes,"30,33"
https://www.lidl.dk/p/santa-maria-tex-mex/p10029401,santa-maria-tex-mex,,
https://www.lidl.dk/p/rose-hot-wings/p10029531,rose-hot-wings,ROSE Hot wings,99
https://www.lidl.dk/p/chile-chardonnay/p120714,chile-chardonnay,Chile Chardonnay,"30,33"
https://www.lidl.dk/p/favorina-paaskehare/p10029556,favorina-paaskehare,FAVORINA Påskehare,35
https://www.lidl.dk/p/sekt-halvtoer/p10015698,sekt-halvtoer,Sekt halvtør,"30,33"
https://www.lidl.dk/p/italiamo-pizza/p10029562,italiamo-pizza,ITALIAMO Pizza,"25,-"
https://www.lidl.dk/p/corny-myslibarer/p10029541,corny-myslibarer,CORNY Myslibarer,18
https://www.lidl.dk/p/snack-day-grovchips/p10029249,snack-day-grovchips,,
https://www.lidl.dk/p/pinot-grigio-delle-venezie-igp/p10000016,pinot-grigio-delle-venezie-igp,Pinot Grigio delle Venezie IGP,"30,33"
https://www.lidl.dk/p/parkside-vde-skruetraekker-4-v/p10029613,parkside-vde-skruetraekker-4-v,PARKSIDE® VDE-skruetrækker 4 V,129
https://www.lidl.dk/p/australsk-chardonnay/p34496,australsk-chardonnay,Australsk Chardonnay,"30,33"
https://www.lidl.dk/p/alpenfest-stenovnspizza/p10029296,alpenfest-stenovnspizza,,
https://www.lidl.dk/p/focaccia-med-pepperoni-og-ost/p6503360,focaccia-med-pepperoni-og-ost,Focaccia med pepperoni og ost,"30,33"
https://www.lidl.dk/p/solsikkerugbroed/p6511858,solsikkerugbroed,Solsikkerugbrød,"30,33"
https://www.lidl.dk/p/crownfield-sproed-mysli/p10029540,crownfield-sproed-mysli,CROWNFIELD Sprød mysli,20
https://www.lidl.dk/p/cafepause/p10000163,cafepause,Cafépause,149
https://www.lidl.dk/p/vitasia-kyllingeret-med-teriyaki/p10029520,vitasia-kyllingeret-med-teriyaki,VITASIA Kyllingeret med teriyaki,30
https://www.lidl.dk/p/jes-collection-koekkenartikler/p10029367,jes-collection-koekkenartikler,,
https://www.lidl.dk/p/hipsters-eller-ribtrusser-med-blonder-til-kvinder/p10029637,hipsters-eller-ribtrusser-med-blonder-til-kvinder,Hipsters eller ribtrusser med blonder til kvinder,59
https://www.lidl.dk/p/alpenfest-kaiserschmarrn-eller-aeblekage/p10029280,alpenfest-kaiserschmarrn-eller-aeblekage,,
https://www.lidl.dk/p/chef-select-smoothie/p10029420,chef-select-smoothie,,
https://www.lidl.dk/p/combino-tagliatelle-pasta-med-aeg-sk4/p10025481,combino-tagliatelle-pasta-med-aeg-sk4,Combino Tagliatelle pasta med æg SK4,14.95
https://www.lidl.dk/p/aromata-bagepapir-i-ark-38x42cm/p10025531,aromata-bagepapir-i-ark-38x42cm,Aromata Bagepapir i ark 38x42cm,9.95
https://www.lidl.dk/p/madvaerket-danbo-ost-ml-45-m-kommen/p10025441,madvaerket-danbo-ost-ml-45-m-kommen,MADVÆRKET Danbo ost ML 45+ m. kommen,57.95
https://www.lidl.dk/p/oekologisk-spansk-rose-eller-hvidvin/p10029530,oekologisk-spansk-rose-eller-hvidvin,Økologisk spansk rosé eller hvidvin,99
https://www.lidl.dk/p/hata-ramune-japansk-sodavand/p10029498,hata-ramune-japansk-sodavand,HATA RAMUNE Japansk sodavand,15
https://www.lidl.dk/p/jolly-sodavand/p10029410,jolly-sodavand,,
https://www.lidl.dk/p/w5-sensitive-opvaskemiddel/p6500832,w5-sensitive-opvaskemiddel,W5 sensitive opvaskemiddel,"30,33"
https://www.lidl.dk/p/silvercrest-opbevaringsboetter-med-vaegophaeng/p10029363,silvercrest-opbevaringsboetter-med-vaegophaeng,,
https://www.lidl.dk/p/slots-classic/p10029409,slots-classic,,
https://www.lidl.dk/p/middag-for-2/p10000164,middag-for-2,Middag for 2,499
https://www.lidl.dk/p/ostebolle-med-gouda/p51816,ostebolle-med-gouda,Ostebolle med gouda,"30,33"
https://www.lidl.dk/p/sweet-corner-chews/p10029247,sweet-corner-chews,,
